id,model,make,year,mileage_kms,transmission,price,engine_capacity,seat_capacity,colour,power_hp,peak_torque_nm,fuel_tanks_litres,dimension
6362690,Vellfire,Toyota,2017,22500,Automatic,228800.0,2493,7,Silver,182.0,235.0,55.0,17163.93
6570304,3,Mazda,2006,97500,Automatic,16800.0,1598,5,White,105.0,145.0,55.0,11544.12675
6569866,XV,Subaru,2014,92500,Automatic,52900.0,1995,5,Black,150.0,196.0,60.0,12792.415
6606541,Estima,Toyota,2007,52500,Automatic,66800.0,2362,7,Grey,170.0,220.0,65.0,15104.25
6531972,Saga,Proton,2015,62500,Automatic,17800.0,1332,5,Silver,95.0,120.0,40.0,10924.3008
6592326,C200 CGI,Mercedes-Benz,2011,37500,Automatic,68800.0,1796,5,Black,184.0,270.0,66.0,13389.98814
6486219,Corolla Altis,Toyota,2010,92500,Automatic,42800.0,1987,5,Silver,145.0,187.0,55.0,11705.936
6499378,E250 CGI,Mercedes-Benz,2009,97500,Automatic,79800.0,1796,5,Silver,204.0,310.0,80.0,14830.074788
6606519,Biante,Mazda,2015,72500,Automatic,66800.0,1998,8,Black,151.0,190.0,60.0,15314.08425
6245643,Optima K5,Kia,2015,68200,Automatic,75800.0,1999,5,Black,165.0,198.0,70.0,12965.1558
6562415,Civic,Honda,2016,60233,Automatic,95800.0,1497,5,White,111.0,172.0,50.0,11395.873125
6588224,Persona,Proton,2011,92500,Automatic,12500.0,1597,5,Silver,111.0,148.0,50.0,11105.42235
6506403,Hilux,Toyota,2012,97500,Automatic,55555.0,2494,5,White,102.0,260.0,76.0,17856.385
6596980,XV,Subaru,2015,77500,Automatic,68888.0,1995,5,Orange,150.0,196.0,60.0,12792.415
6221413,Swift,Suzuki,2011,72500,Automatic,20000.0,1490,5,Grey,101.0,133.0,43.0,9595.144
6602526,City,Honda,2016,67500,Automatic,52800.0,1497,5,Red,120.0,145.0,40.0,11115.6066
6099466,Accord,Honda,2011,72500,Automatic,42800.0,2354,5,Silver,181.0,222.0,70.0,13457.199375
6606421,CR-V,Honda,2010,92500,Automatic,39800.0,1997,5,Grey,150.0,190.0,58.0,13820.352
6606418,H3,Hummer,2008,82500,Automatic,145000.0,3653,5,White,242.0,327.0,87.0,16788.1461
6058293,GLA250,Mercedes-Benz,2018,7500,Automatic,238000.0,1991,5,White,211.0,350.0,56.0,11904.592392
6559237,C230K,Mercedes-Benz,2006,87500,Automatic,33999.0,1796,5,Silver,261.0,260.0,62.0,11167.428096
6588714,Accord,Honda,2014,52500,Automatic,72800.0,1997,5,White,155.0,190.0,65.0,13198.9175
6135674,Corolla Altis,Toyota,2011,82500,Automatic,36888.0,1598,5,Silver,122.0,154.0,55.0,11705.936
6606286,Tiguan,Volkswagen,2019,7500,Automatic,129888.0,1395,5,Silver,150.0,250.0,60.0,13801.838442
6606235,C200,Mercedes-Benz,2016,47500,Automatic,169880.0,1991,5,Silver,184.0,300.0,66.0,12230.55372
6606217,CLA200,Mercedes-Benz,2017,32500,Automatic,156800.0,1595,5,Black,156.0,250.0,50.0,11781.79432
6314748,Harrier,Toyota,2011,92500,Automatic,79800.0,2362,5,Black,160.0,221.0,75.0,14661.108
6585047,Harrier,Toyota,2007,110000,Automatic,56800.0,2362,5,White,160.0,221.0,75.0,14661.108
6584192,CR-V,Honda,2010,170000,Automatic,39800.0,1997,5,Brown,150.0,190.0,58.0,13820.352
6531941,Navara,Nissan,2016,29888,Automatic,69800.0,2488,5,White,190.0,450.0,80.0,17888.02
6202065,Myvi,Perodua,2014,52500,Automatic,26800.0,1298,5,Blue,91.0,117.0,40.0,9492.24825
6463139,D-Max,Isuzu,2015,62500,Manual,54900.0,2499,5,Brown,136.0,320.0,76.0,17579.9295
6460475,Persona,Proton,2013,72500,Manual,14900.0,1597,5,White,111.0,148.0,50.0,11105.42235
6606003,CC,Volkswagen,2012,97500,Automatic,39900.0,1798,5,Blue,160.0,250.0,70.0,12657.85591
6495562,Preve,Proton,2012,52500,Automatic,23888.0,1561,5,Gold,140.0,205.0,50.0,12365.428152
6536219,Iriz,Proton,2016,127500,Automatic,25000.0,1332,5,Brown,95.0,120.0,40.0,10489.87296
6605410,Land Cruiser Prado,Toyota,2011,72500,Automatic,119800.0,2693,7,White,163.0,246.0,55.0,16599.31
6541934,Range Rover Evoque,Land Rover,2014,77500,Automatic,149999.0,1999,5,White,241.0,340.0,68.0,14023.762875
6563686,ASX,Mitsubishi,2014,62500,Automatic,57800.0,1998,5,Grey,150.0,197.0,60.0,12277.47225
6586528,City,Honda,2015,47500,Automatic,51999.0,1497,5,White,120.0,145.0,40.0,11115.6066
6605854,Myvi,Perodua,2012,42500,Automatic,24999.0,1298,5,White,91.0,117.0,40.0,9492.24825
6473331,Innova,Toyota,2012,82500,Automatic,47800.0,1998,8,Silver,136.0,182.0,55.0,14323.54
6414094,GLE250,Mercedes-Benz,2015,92500,Automatic,200888.0,2143,5,Blue,204.0,500.0,93.0,16747.27794
6579092,Axia,Perodua,2015,72500,Automatic,26600.0,998,5,Blue,67.0,90.0,33.0,8904.168
6495769,6,Mazda,2013,77500,Automatic,62800.0,2488,5,Red,188.0,250.0,62.0,12979.82
6578264,Civic,Honda,2010,77500,Automatic,37888.0,1799,5,White,140.0,174.0,50.0,11433.6495
6544281,Corolla Altis,Toyota,2004,192500,Automatic,16555.0,1794,5,Gold,136.0,171.0,55.0,11431.002
6586542,City,Honda,2016,42500,Automatic,51888.0,1497,5,White,120.0,145.0,40.0,11115.6066
6605877,Sonata,Hyundai,2014,97500,Automatic,49888.0,1999,5,White,163.0,194.0,70.0,13006.161294
6598958,ML350,Mercedes-Benz,2010,92500,Automatic,98800.0,3498,5,Black,272.0,350.0,108.0,16579.2627
6605863,CR-V,Honda,2017,35000,Automatic,132800.0,1498,5,White,193.0,243.0,55.0,14277.07428
6545986,Camry,Toyota,2010,87500,Automatic,55800.0,2362,5,Grey,167.0,224.0,70.0,12908.805
6602832,Accord,Honda,2014,62500,Automatic,80800.0,1997,5,White,155.0,190.0,65.0,13198.9175
6456148,Estima,Toyota,2010,97500,Automatic,93999.0,2362,7,White,170.0,223.0,65.0,15061.095
6603761,Vios,Toyota,2008,62500,Manual,25800.0,1497,5,Silver,109.0,141.0,42.0,10672.6
6605852,S350L,Mercedes-Benz,2009,137500,Automatic,59500.0,3498,5,Silver,272.0,350.0,90.0,14363.588304
6605850,CR-V,Honda,2017,23000,Automatic,132800.0,1498,5,White,193.0,243.0,55.0,14277.07428
6130733,Fortuner,Toyota,2011,77500,Automatic,70800.0,2494,7,Silver,102.0,260.0,65.0,5270.65
6555914,Countryman,MINI,2018,22500,Automatic,176800.0,1998,5,White,192.0,280.0,51.0,12195.635346
6325500,208,Peugeot,2014,72500,Automatic,26800.0,1598,5,Red,122.0,160.0,50.0,10059.28028
6605831,A200,Mercedes-Benz,2015,62500,Automatic,99999.0,1595,5,Red,156.0,250.0,50.0,10947.77608
6605826,M3,BMW,2009,97500,Automatic,139800.0,3999,5,Blue,420.0,400.0,63.0,10199.35314
6593944,Alphard,Toyota,2013,70000,Automatic,138800.0,2362,7,White,170.0,224.0,55.0,17077.96
6601955,Paceman,MINI,2013,62500,Automatic,139800.0,1598,4,White,218.0,280.0,47.0,11247.063528
6602241,Tiguan,Volkswagen,2017,27500,Automatic,105800.0,1395,5,Grey,150.0,250.0,60.0,13801.838442
6601996,Countryman,MINI,2012,92500,Automatic,89800.0,1598,5,White,184.0,240.0,47.0,11477.70519
