,make,id,model,year,mileage_kms,transmission,price,engine_capacity,seat_capacity,colour,power_hp,peak_torque_nm,length,width,height,fuel_tanks_litres,country
7945,Toyota,6580680,Vios,2012,82500.0,Automatic,35500.0,1497.0,5.0,Silver,109.0,141.0,4300.0,1700.0,1460.0,42.0,Japan
7946,Proton,6261867,Exora,2014,82500.0,Automatic,24900.0,1561.0,7.0,Silver,140.0,205.0,4592.0,1809.0,1691.0,55.0,Malaysia
7947,Mazda,6434141,2,2013,82500.0,Automatic,26500.0,1498.0,5.0,Silver,103.0,135.0,3922.0,1695.0,1485.0,43.0,Japan
7948,Peugeot,6557381,408,2012,62500.0,Automatic,17999.0,1598.0,5.0,Grey,166.0,240.0,4682.0,1815.0,1525.0,60.0,France
7949,Toyota,6652296,Avanza,2014,72500.0,Automatic,37800.0,1495.0,7.0,White,103.0,136.0,4150.0,1600.0,1695.0,45.0,Japan
7950,Perodua,6652351,Kelisa,2004,112500.0,Automatic,10999.0,989.0,5.0,Silver,55.0,88.0,3490.0,1490.0,1430.0,40.0,Malaysia
7951,Honda,6652371,Jazz,2003,112500.0,Automatic,18999.0,1339.0,5.0,Silver,83.0,119.0,3830.0,1675.0,1525.0,42.0,Japan
7952,Subaru,6594563,XV,2014,57500.0,Automatic,47999.0,1995.0,5.0,Black,150.0,196.0,4450.0,1780.0,1615.0,60.0,Japan
7953,Ford,6615943,Ranger,2014,77500.0,Automatic,52999.0,2198.0,5.0,Silver,150.0,375.0,5359.0,1850.0,1815.0,80.0,USA
7954,Toyota,6453637,Hilux,2010,67500.0,Manual,43999.0,2494.0,5.0,Silver,102.0,260.0,5255.0,1835.0,1810.0,76.0,Japan
7955,Honda,6649184,CR-V,2014,62500.0,Automatic,74000.0,1997.0,5.0,Silver,155.0,190.0,4545.0,1820.0,1685.0,58.0,Japan
7956,Volkswagen,6649191,Polo,2014,62500.0,Automatic,35000.0,1598.0,5.0,Silver,105.0,153.0,3970.0,1682.0,1453.0,45.0,Germany
7957,BMW,6581931,320d,2012,82500.0,Automatic,78800.0,1995.0,5.0,Red,184.0,380.0,4624.0,1811.0,1429.0,57.0,Germany
7958,Toyota,6580401,Camry,2003,102500.0,Automatic,15777.0,2362.0,5.0,Grey,207.0,218.0,4825.0,1810.0,1500.0,70.0,Japan
7959,Honda,6574536,CR-V,2009,120000.0,Automatic,39800.0,1997.0,5.0,Grey,150.0,190.0,4520.0,1820.0,1680.0,58.0,Japan
7960,Toyota,6643117,Camry,2012,87500.0,Automatic,69800.0,1998.0,5.0,Silver,147.0,190.0,4825.0,1820.0,1470.0,70.0,Japan
7961,Mercedes-Benz,6643169,E250,2013,92500.0,Automatic,138800.0,1991.0,5.0,White,211.0,350.0,4879.0,1854.0,1474.0,80.0,Germany
7962,BMW,6643267,320i,2015,77500.0,Automatic,112800.0,1997.0,5.0,White,184.0,270.0,4624.0,1811.0,1429.0,60.0,Germany
7963,Honda,6643296,City,2015,82500.0,Automatic,57800.0,1497.0,5.0,White,120.0,145.0,4440.0,1695.0,1477.0,40.0,Japan
