link,Engine Capacity,Seat Capacity,Colour
https://www.carlist.my/used-cars/2014-proton-preve-1-6-cfe-turbo-premium-a-deep-crystal-blue/6250472,1561 cc,5,Blue
https://www.carlist.my/used-cars/2014-perodua-myvi-1-3-se-a-lagi-best-full-leather-seat/6654552,1298 cc,5,Black
https://www.carlist.my/used-cars/2012-perodua-myvi-1-3-ezi-lagi-best-a-low-mileage-63kkm/6373357,1298 cc,5,White
https://www.carlist.my/used-cars/2007-bmw-540i-4-0l-a-v8-engine-e60-lci-gear-knob-m5-m-sport-bodykit-local-malaysa-auto-bavaria-unit-not-recon-1-careful-owner/5963635,4000 cc,5,Blue
https://www.carlist.my/used-cars/2003-hyundai-sonata-2-0-gls-a-leather-seat-tip-top-condition/6445420,1997 cc,5,Black
https://www.carlist.my/used-cars/2003-perodua-kenari-1-0-ez-a-new-timing-belt/5909673,989 cc,5,Purple
https://www.carlist.my/used-cars/satria-neo-1-6-r3-cps-m-intercooler-turbo/6653358,1597 cc,5,Blue
https://www.carlist.my/used-cars/lexus-gs250-2-5-v6-a-japan-luxury-spec-mark-levinson/6537222,2499 cc,5,White
https://www.carlist.my/used-cars/2011-proton-inspira-2-0-p-a-evo-x-adjustable-absorber-crimson-club-linea-sport-rims/6646830,1998 cc,5,White
https://www.carlist.my/used-cars/2011-proton-saga-1-3-fl-m-15-sport-rims-led-tail-light/6297080,1332 cc,5,Blue
https://www.carlist.my/used-cars/2015-kia-optima-k5-facelift-a-full-service-low-mileage-61kkm-sunroof-eco-sport-mode/6653254,1999 cc,5,White
https://www.carlist.my/used-cars/2013-perodua-alza-1-5-ezi-mpv-a-full-bodykit-7-seaters-tip-top-condition/6436655,1495 cc,7,White
https://www.carlist.my/used-cars/2013-volkswagen-beetle-1-2-tsi-a-dsg-turbo-new-model-local-cbu-imported-new-full-spec-brand-new-by-volkswagen-malaysia/6045079,1197 cc,4,Black
https://www.carlist.my/used-cars/2009-honda-civic-1-8-s-i-vtec-new-facelift-a-type-r-mugen-gt-wing-rays-te37-sport-rims/6636342,1799 cc,5,White
https://www.carlist.my/used-cars/2006-volvo-s80-2-0-turbo-a-memory-leather-seat-tip-top/5971164,1984 cc,5,Silver
https://www.carlist.my/used-cars/2012-bmw-e60-525i-m-sport-lci-magnesium-engine/6361642,2996 cc,5,Silver
https://www.carlist.my/used-cars/2004-toyota-harrier-3-0-g-airs-a-sunroof-airmatic/6581616,2994 cc,5,Black
https://www.carlist.my/used-cars/2014-honda-jazz-1-5-i-vtec-a-full-mugen-rs/6580678,1497 cc,5,White
https://www.carlist.my/used-cars/2010-bmw-f10-523i-2-5-a-m5-bodykit-20-m5-sport-rims/6459926,2497 cc,5,White
https://www.carlist.my/used-cars/2011-volkswagen-golf-2-0-gti-a-se-sunroof-stage-2/6664926,1984 cc,5,Grey
https://www.carlist.my/used-cars/2013-ford-focus-2-0-sport-plus-a-full-spec-sunroof-auto-park-auto-stop-push-start/6651062,1999 cc,5,White
https://www.carlist.my/used-cars/2014-kia-optima-2-0-k5-facelift-a-full-service-custom-eagle-eye-headlamps-sunroof/6613437,1999 cc,5,Blue
https://www.carlist.my/used-cars/2014-perodua-alza-1-5-se-mpv-a-4x-new-tyres-full-se-bodykits/6635805,1495 cc,7,White
https://www.carlist.my/used-cars/2015-proton-perdana-2-0-e-a-car-king-condition-low-mileage/5987617,1997 cc,5,Grey
https://www.carlist.my/used-cars/2008-proton-perdana-2-0-v6-a-full-bodykit-leather-seat-beige-interior/6592016,1999 cc,5,White
https://www.carlist.my/used-cars/2015-proton-perdana-2-0-e-a-k-break-bodykit-hre-p101-sportrims/6464571,1997 cc,5,Red
https://www.carlist.my/used-cars/2013-hyundai-elantra-1-6-gls-a-high-spec-push-start-leather-seat/6363988,1591 cc,5,White
https://www.carlist.my/used-cars/2009-perodua-myvi-1-3-se-a-sport-spring-te37-sport-rims/6288552,1298 cc,5,Silver
https://www.carlist.my/used-cars/2008-toyota-vios-1-5-a-trd-15-enkei-sport-rims/6467421,1497 cc,5,Black
https://www.carlist.my/used-cars/toyota-wish-1-8-s-a-push-start-paddle-shift/6661495,1797 cc,7,Blue
https://www.carlist.my/used-cars/nov-2015-mercedes-benz-gla250-cgi-a-x156-cbu-local-original-amg-4matic-7g-dct-high-spec-brand-new-by-mercedes-malaysia/5866216,1991 cc,5,Silver
https://www.carlist.my/used-cars/best-condition-in-town-2010-ferrari-458-italia-4-5-coupe/6344236,4497 cc,2,Yellow
https://www.carlist.my/used-cars/2012-mercedes-benz-e250-1-8-amg-coupe-panoramic-roof-harman-kardon-memory-seat/5241698,1796 cc,4,Black
https://www.carlist.my/used-cars/porsche-panamera-4-8-turbo/5312250,4806 cc,4,Grey
https://www.carlist.my/used-cars/2012-register-2016-porsche-911-3-4-carrera-coupe-one-owner/6091450,3436 cc,4,White
https://www.carlist.my/used-cars/rare-spec-in-market-view-to-believe-mercedes-benz-sl350-3-5-convertible/5944573,3498 cc,2,Black
https://www.carlist.my/used-cars/2014-toyota-vios-1-5-e-a-dual-vvt-i-full-spec-ckd-local-by-umw-toyota-malaysia-1-very-careful-owner/6654745,1497 cc,5,White
https://www.carlist.my/used-cars/2009-toyota-alphard-2-4-vvti-a-7-seater-2-x-power-door-rear-power-boot-sunroof-moon-roof-240g-high-spec/6546772,2362 cc,7,Black
