link,Bore(mm),Stroke(mm),Power(hp),Compression Ratio,Peak Torque(Nm),Length(mm),Width(mm),Height(mm),Fuel Tank (litres)
https://www.carlist.my/used-cars/2014-proton-preve-1-6-cfe-turbo-premium-a-deep-crystal-blue/6250472,76,86,140,NA,205,4543,1786,1524,50
https://www.carlist.my/used-cars/2014-perodua-myvi-1-3-se-a-lagi-best-full-leather-seat/6654552,72,79.7,91,10.01,117,3690,1665,1545,40
https://www.carlist.my/used-cars/2012-perodua-myvi-1-3-ezi-lagi-best-a-low-mileage-63kkm/6373357,72,79.7,91,10.01,117,3690,1665,1545,40
https://www.carlist.my/used-cars/2007-bmw-540i-4-0l-a-v8-engine-e60-lci-gear-knob-m5-m-sport-bodykit-local-malaysa-auto-bavaria-unit-not-recon-1-careful-owner/5963635,84.1,87,306,10.5,390,4841,1846,1468,70
https://www.carlist.my/used-cars/2003-hyundai-sonata-2-0-gls-a-leather-seat-tip-top-condition/6445420,85,88,133,10,178,4747,1820,1422,65
https://www.carlist.my/used-cars/2003-perodua-kenari-1-0-ez-a-new-timing-belt/5909673,72,81,55,10,88,3450,1480,1640,40
https://www.carlist.my/used-cars/satria-neo-1-6-r3-cps-m-intercooler-turbo/6653358,NA,NA,111,NA,148,3905,1710,1420,50
https://www.carlist.my/used-cars/lexus-gs250-2-5-v6-a-japan-luxury-spec-mark-levinson/6537222,83,77,209,12.01,253,4850,1840,1455,66
https://www.carlist.my/used-cars/2011-proton-inspira-2-0-p-a-evo-x-adjustable-absorber-crimson-club-linea-sport-rims/6646830,NA,NA,150,NA,197,4570,1760,1490,59
https://www.carlist.my/used-cars/2011-proton-saga-1-3-fl-m-15-sport-rims-led-tail-light/6297080,76,73.4,95,10.1,120,4278,1680,1520,40
https://www.carlist.my/used-cars/2015-kia-optima-k5-facelift-a-full-service-low-mileage-61kkm-sunroof-eco-sport-mode/6653254,81,97,165,NA,198,4856,1835,1455,70
https://www.carlist.my/used-cars/2013-perodua-alza-1-5-ezi-mpv-a-full-bodykit-7-seaters-tip-top-condition/6436655,NA,NA,103,NA,136,4205,1695,1620,42
https://www.carlist.my/used-cars/2013-volkswagen-beetle-1-2-tsi-a-dsg-turbo-new-model-local-cbu-imported-new-full-spec-brand-new-by-volkswagen-malaysia/6045079,NA,NA,105,NA,175,4278,1808,1486,55
https://www.carlist.my/used-cars/2009-honda-civic-1-8-s-i-vtec-new-facelift-a-type-r-mugen-gt-wing-rays-te37-sport-rims/6636342,81,87.3,140,10.5,174,4540,1755,1435,50
https://www.carlist.my/used-cars/2006-volvo-s80-2-0-turbo-a-memory-leather-seat-tip-top/5971164,NA,NA,179,NA,240,4822,1832,1452,80
https://www.carlist.my/used-cars/2012-bmw-e60-525i-m-sport-lci-magnesium-engine/6361642,NA,NA,218,NA,270,4841,1846,1468,70
https://www.carlist.my/used-cars/2004-toyota-harrier-3-0-g-airs-a-sunroof-airmatic/6581616,87.5,83,299,10.5,304,4730,1845,1680,75
https://www.carlist.my/used-cars/2014-honda-jazz-1-5-i-vtec-a-full-mugen-rs/6580678,73,89.4,120,10.4,146,3900,1695,1525,42
https://www.carlist.my/used-cars/2010-bmw-f10-523i-2-5-a-m5-bodykit-20-m5-sport-rims/6459926,82,78.8,204,11,250,4899,1860,1464,70
https://www.carlist.my/used-cars/2011-volkswagen-golf-2-0-gti-a-se-sunroof-stage-2/6664926,NA,NA,211,NA,280,4213,1786,1501,55
https://www.carlist.my/used-cars/2013-ford-focus-2-0-sport-plus-a-full-spec-sunroof-auto-park-auto-stop-push-start/6651062,NA,NA,170,12,202,4358,1824,1466,55
https://www.carlist.my/used-cars/2014-kia-optima-2-0-k5-facelift-a-full-service-custom-eagle-eye-headlamps-sunroof/6613437,81,97,165,NA,198,4856,1835,1455,70
https://www.carlist.my/used-cars/2014-perodua-alza-1-5-se-mpv-a-4x-new-tyres-full-se-bodykits/6635805,72,91.8,103,10,136,4270,1695,1620,42
https://www.carlist.my/used-cars/2015-proton-perdana-2-0-e-a-car-king-condition-low-mileage/5987617,81,96.9,156,10.61,189,4950,1845,1475,70
