make,id,model,year,mileage_kms,transmission,price,engine_capacity,seat_capacity,colour,power_hp,peak_torque_nm,fuel_tanks_litres,dimension
Daihatsu,6285331,Gran Max,2013,92500,Manual,35800.0,1495,2,White,97.0,134.0,43.0,12796.3575
Toyota,6659921,Alphard,2011,42500,Automatic,118888.0,2362,7,Black,170.0,224.0,65.0,16774.695
Toyota,6339755,Vellfire,2012,67500,Automatic,135888.0,3456,7,Black,280.0,344.0,65.0,16843.869
Mercedes-Benz,6054732,E250,2016,17500,Automatic,228888.0,1991,5,Silver,211.0,350.0,80.0,13333.311684
Mercedes-Benz,6574855,C200K,2010,92500,Automatic,52888.0,1796,5,Black,184.0,250.0,66.0,11708.48628
Toyota,6591315,Harrier,2003,97500,Automatic,36888.0,2362,5,Silver,160.0,221.0,75.0,14661.108
Honda,6644232,Civic,2013,72500,Automatic,57888.0,1997,5,Grey,155.0,190.0,50.0,11395.873125
Porsche,6274847,911,2004,77500,Automatic,188888.0,3596,4,Silver,320.0,370.0,67.0,10245.09984
Perodua,6636242,Myvi,2010,157500,Automatic,17888.0,1298,5,Black,87.0,116.0,40.0,9677.8125
Nissan,6639459,X-Trail,2004,167500,Automatic,15888.0,2488,5,Black,179.0,245.0,60.0,13333.25125
Honda,6647022,Accord,2015,72500,Automatic,78888.0,2356,5,Gold,175.0,225.0,65.0,13198.9175
Porsche,6653136,Cayenne,2008,87500,Automatic,73800.0,4806,5,Black,405.0,500.0,100.0,15717.890125
Toyota,6606242,Corolla Altis,2015,97500,Automatic,73800.0,1798,5,White,139.0,173.0,55.0,11979.4752
Mercedes-Benz,6235588,CLS350,2007,127500,Automatic,39888.0,3498,4,Black,370.0,350.0,80.0,12790.848109999999
Perodua,6539986,Bezza,2017,72500,Automatic,35800.0,1329,5,Blue,95.0,121.0,36.0,10151.73
Honda,6375269,CR-V,2008,112500,Automatic,34800.0,1997,5,Grey,150.0,190.0,58.0,13820.351999999999
Nissan,6374192,Almera,2012,147500,Automatic,29800.0,1498,5,Black,102.0,139.0,41.0,11325.56625
Nissan,6374787,X-Trail,2009,112500,Automatic,22800.0,1998,5,Silver,150.0,200.0,60.0,13333.25125
Honda,6374279,Civic,2014,82500,Automatic,52800.0,1798,5,Grey,141.0,174.0,50.0,11395.873125
Volkswagen,6651355,Passat,2012,97500,Automatic,39888.0,1798,5,Bronze,160.0,250.0,70.0,12758.9826
Toyota,6358346,Vios,2014,72000,Automatic,52900.0,1497,5,Silver,109.0,141.0,42.0,11058.075
Nissan,6684141,Grand Livina,2015,70000,Automatic,54800.0,1798,7,Blue,126.0,174.0,52.0,12122.955
Honda,6685047,Accord,2011,90000,Automatic,48800.0,1997,5,White,156.0,189.0,70.0,13457.199375
Toyota,6651214,Estima,2013,67500,Automatic,123800.0,2362,7,Black,170.0,223.0,65.0,15061.095
Mitsubishi,6692941,Pajero Sport,2010,82000,Automatic,42800.0,2477,7,Beige,136.0,314.0,70.0,15338.565
Mercedes-Benz,6446268,E250 CGI,2012,89000,Automatic,99888.0,1796,4,White,204.0,310.0,80.0,11721.707316
Toyota,6500233,Vios,2015,50000,Automatic,56888.0,1497,5,White,109.0,141.0,42.0,11058.075
Toyota,6610103,Vellfire,2013,61000,Automatic,139888.0,3456,7,White,280.0,344.0,65.0,16843.869
Toyota,6591048,Vios,2015,50000,Automatic,52888.0,1497,5,Blue,109.0,141.0,42.0,11058.075
Perodua,6456002,Myvi,2017,20000,Automatic,36888.0,1495,5,Blue,103.0,136.0,40.0,9632.77425
Mercedes-Benz,6659060,C200 CGI,2011,90000,Automatic,73000.0,1796,5,Blue,184.0,270.0,66.0,13389.988140000001
Toyota,6659046,Vios,2016,40000,Automatic,54000.0,1497,5,Black,109.0,141.0,42.0,11058.075
Toyota,6659039,Vios,2015,50000,Automatic,46800.0,1497,5,White,109.0,141.0,42.0,11058.075
Honda,6659061,City,2017,30000,Automatic,57000.0,1497,5,Black,120.0,145.0,40.0,11115.6066
Mercedes-Benz,6659050,C250,2017,30000,Automatic,197000.0,1991,5,White,213.0,350.0,66.0,12230.55372
BMW,6567094,X5,2016,67000,Automatic,229800.0,2979,7,White,306.0,400.0,85.0,16684.497816
Mercedes-Benz,6479461,S400L,2014,77500,Automatic,218800.0,3498,5,Black,306.0,370.0,70.0,14903.382384
BMW,5931201,X5,2016,77500,Automatic,229800.0,1997,5,White,245.0,350.0,85.0,16684.497816
Mercedes-Benz,6300733,E250,2016,42500,Automatic,229800.0,1991,5,Silver,211.0,350.0,80.0,13333.311684
Mercedes-Benz,6569908,C350 e,2016,27500,Automatic,176800.0,1991,5,Silver,211.0,350.0,55.0,12230.55372
BMW,6386096,X5,2016,107500,Automatic,199800.0,1997,5,Grey,245.0,350.0,85.0,16684.497816
Mercedes-Benz,5884631,E200,2014,67500,Automatic,129800.0,1991,5,Grey,184.0,300.0,80.0,13333.311684
Mercedes-Benz,5734321,E250,2017,7500,Automatic,269800.0,1991,5,Silver,211.0,350.0,66.0,13384.337328
BMW,6290609,523i,2011,97500,Automatic,81500.0,2497,5,Grey,204.0,250.0,70.0,13340.17296
Mercedes-Benz,6606328,C350 e,2017,37500,Automatic,179888.0,1991,5,Silver,211.0,350.0,55.0,12230.55372
BMW,6308234,316i,2014,82500,Automatic,83800.0,1598,5,Silver,136.0,220.0,60.0,11966.537456
BMW,5516225,320i,2007,117500,Automatic,29800.0,1995,5,Black,150.0,200.0,60.0,11670.44564
Toyota,6364127,Avanza,2007,107500,Automatic,25777.0,1495,7,Black,109.0,141.0,45.0,11417.858999999999
Honda,6417491,Accord,2009,97500,Automatic,39777.0,1997,5,Grey,156.0,189.0,70.0,13457.199375
Nissan,6559488,Almera,2013,97500,Automatic,30800.0,1498,5,Brown,102.0,139.0,41.0,11325.56625
Honda,6651028,City,2012,82500,Automatic,39800.0,1497,5,Brown,120.0,145.0,42.0,10950.80175
Subaru,6445638,XV,2014,52500,Automatic,51800.0,1995,5,Silver,150.0,196.0,60.0,12792.415
Peugeot,6398592,208,2014,57500,Automatic,27800.0,1598,5,Blue,122.0,160.0,50.0,10059.280279999999
Peugeot,6378336,2008,2016,67500,Automatic,47800.0,1598,5,Maroon,122.0,160.0,50.0,11264.77044
Perodua,6656216,Myvi,2007,92500,Automatic,14800.0,1298,5,Silver,87.0,116.0,40.0,9600.39
Perodua,6600910,Viva,2010,77500,Automatic,14800.0,989,5,Black,61.0,90.0,36.0,8067.88125
Proton,5732435,Preve,2013,57500,Automatic,24800.0,1561,5,White,140.0,205.0,50.0,12365.428152
Mercedes-Benz,5729842,C230,2007,87500,Automatic,34800.0,2496,5,Black,204.0,245.0,70.0,11167.428096
